,price,Number of Gears,Assembled,Engine CC,Direct Injection,Aspiration,Wheel Base (mm),Front Thread,Fuel Tank (litres),Rear Brakes,vehicle_age,volume,specific_power,brand_tier
1896,62800.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2685.0,1600.0,45.0,Drums,3,13080145500.0,58.10641449242338,D
1897,44800.0,4,Locally Built,1498,Multi-Point Injected,Aspirated,2600.0,1600.0,41.0,Drums,5,11250562500.0,73.54531689379192,C
1898,155800.0,9,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1600.0,66.0,Discs,6,12230553720.0,94.74810249095817,A
1899,65800.0,9,Locally Built,1497,Multi-Point Injected,Aspirated,2530.0,1476.0,40.0,Drums,6,11271286488.0,81.48520364510478,B
1900,83800.0,6,Parallel Import,3456,Multi-Point Injected,Aspirated,2950.0,1555.0,65.0,Discs,13,17077960000.0,104.4776119402985,B
1901,69800.0,7,Parallel Import,2362,Multi-Point Injected,Aspirated,2950.0,1545.0,65.0,Discs,14,15061095000.0,71.27284923696125,B
1902,81800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,10,13343703240.0,81.2505519738585,A
1903,95800.0,4,Locally Built,2494,Direct Injection,Turbo intercooled,2750.0,1600.0,65.0,Drums,9,16015820000.0,55.250738594943016,B
1904,48888.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1492.0,40.0,Drums,8,11115606600.0,83.30440819160013,B
1906,255000.0,1,Locally Built,1799,Multi-Point Injected,Aspirated,2702.0,1598.0,40.0,Drums,0,13230946920.0,286.7060048594238,S
1907,128000.0,7,Parallel Import,1991,Direct Injection,Turbo intercooled,2699.0,1549.0,50.0,Drums,9,11781794320.0,112.07308652467201,A
1908,19900.0,6,Official Import,2996,Multi-Point Injected,Aspirated,3128.0,1578.0,88.0,Ventilated discs,17,14618079672.0,137.0372337600255,A
1909,229800.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1578.0,65.0,Ventilated discs,3,14921139728.0,109.65580261955529,A
1910,187777.0,8,Parallel Import,1998,Direct Injection,Twin-scroll turbo,2975.0,1578.0,68.0,Ventilated discs,6,13637042592.0,116.4456355990943,A
1911,308009.0,8,Official Import,3456,Direct Injection,Aspirated,3000.0,1575.0,75.0,Discs,5,17230761250.0,138.62575666558845,B
1912,127800.0,7,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1575.0,66.0,Discs,8,12230553720.0,93.72930568998012,A
